id,budget,revenue,popularity,vote_average,release_year,production_companies
135397,150000000,1513528810,32.985763,6.5,2015,Universal Studios
76341,150000000,378436354,28.419936,7.1,2015,Village Roadshow Pictures
262500,110000000,295238201,13.112507,6.3,2015,Summit Entertainment
140607,200000000,2068178225,11.173104,7.5,2015,Lucasfilm
168259,190000000,1506249360,9.335014,7.3,2015,Universal Pictures
281957,135000000,532950503,9.1107,7.2,2015,Regency Enterprises
87101,155000000,440603537,8.654359,5.8,2015,Paramount Pictures
286217,108000000,595380321,7.6674,7.6,2015,Twentieth Century Fox Film Corporation
211672,74000000,1156730962,7.404165,6.5,2015,Universal Pictures
150540,175000000,853708609,6.326804,8.0,2015,Walt Disney Pictures
206647,245000000,880674609,6.200282,6.2,2015,Columbia Pictures
76757,176000003,183987723,6.189369,5.2,2015,Village Roadshow Pictures
264660,15000000,36869414,6.118847,7.6,2015,DNA Films
257344,88000000,243637091,5.984995,5.8,2015,Columbia Pictures
99861,280000000,1405035767,5.944927,7.4,2015,Marvel Studios
273248,44000000,155760117,5.8984,7.4,2015,Double Feature Films
260346,48000000,325771424,5.749758,6.1,2015,Twentieth Century Fox Film Corporation
102899,130000000,518602163,5.573184,7.0,2015,Marvel Studios
150689,95000000,542351353,5.556818,6.8,2015,Walt Disney Pictures
131634,160000000,650523427,5.476958,6.5,2015,Studio Babelsberg
158852,190000000,209035668,5.462138,6.2,2015,Walt Disney Pictures
307081,30000000,91709827,5.337064,7.3,2015,Escape Artists
254128,110000000,470490832,4.907832,6.1,2015,New Line Cinema
216015,40000000,569651467,4.710402,5.3,2015,Focus Features
318846,28000000,133346506,4.648046,7.3,2015,Paramount Pictures
177677,150000000,682330139,4.566713,7.1,2015,Paramount Pictures
214756,68000000,215863606,4.564549,6.3,2015,Universal Pictures
207703,81000000,403802136,4.503789,7.6,2015,Twentieth Century Fox Film Corporation
314365,20000000,88346473,4.062293,7.8,2015,Participant Media
294254,61000000,311256926,3.968891,6.4,2015,Gotham Group
280996,0,29355203,3.927333,6.4,2015,BBC Films
198184,49000000,102069268,3.899557,6.6,2015,Columbia Pictures
254470,29000000,287506194,3.877764,6.8,2015,Universal Pictures
296098,40000000,162610473,3.64821,7.1,2015,DreamWorks SKG
257445,58000000,150170815,3.644541,6.2,2015,Columbia Pictures
264644,6000000,35401758,3.557846,8.0,2015,Element Pictures
339527,0,22354572,3.358321,6.2,2015,Eden Rock Media
105864,175000000,331926147,3.339135,6.6,2015,Walt Disney Pictures
241554,50000000,71561644,3.23737,6.3,2015,Vertigo Entertainment
167073,11000000,62076141,3.227329,7.3,2015,Wildgaze Films
277216,28000000,201634991,3.202719,7.7,2015,New Line Cinema
274854,90000000,140396650,3.080505,5.6,2015,Summit Entertainment
321697,30000000,34441873,3.079522,6.9,2015,Universal Pictures
203801,75000000,108145109,3.053421,7.0,2015,Davis Entertainment
293863,25000000,42629776,3.025852,7.3,2015,Lakeshore Entertainment
325348,10000000,14333790,3.023253,5.9,2015,Bazelevs Production
228161,135000000,368871007,2.976436,6.9,2015,Twentieth Century Fox Film Corporation
286565,12000000,85512300,2.968254,6.2,2015,Fox 2000 Pictures
265208,30000000,0,2.93234,5.3,2015,Current Entertainment
254320,4000000,9064511,2.885126,6.6,2015,Haut et Court
258480,11800000,40272135,2.883233,7.1,2015,Killer Films
257211,35000000,194564672,2.814802,7.1,2015,Waverly Films
253412,55000000,203427584,2.798017,6.7,2015,Universal Pictures
274479,60000000,101134059,2.793297,6.4,2015,Fox 2000 Pictures
257088,105000000,133718711,2.614499,5.5,2015,Studio Babelsberg
295964,20000000,36606743,2.584264,6.3,2015,Double Feature Films
238615,26000000,30523226,2.578919,6.2,2015,Endgame Entertainment
210860,60000000,30418560,2.575711,5.3,2015,Lionsgate
306819,15000000,64191523,2.557859,7.3,2015,Pretty Pictures
201088,70000000,17752940,2.550747,5.0,2015,Universal Pictures
273481,30000000,84025816,2.487849,7.1,2015,Lionsgate
166424,120000001,167977596,2.487042,4.4,2015,Twentieth Century Fox Film Corporation
310131,3500000,40423945,2.46449,5.8,2015,Parts and Labor
238713,65000000,235666219,2.404473,6.9,2015,Twentieth Century Fox Film Corporation
256591,50100000,153962963,2.395366,6.7,2015,Kramer & Sigman Films
249070,35000000,82347656,2.354654,5.5,2015,Twentieth Century Fox Film Corporation
205775,100000000,93820758,2.345821,6.4,2015,Imagine Entertainment
334074,20000000,0,2.331636,5.4,2015,Nu Image Films
312221,35000000,137935567,2.331567,7.3,2015,New Line Cinema
271718,35000000,140795793,2.31767,6.1,2015,Universal Pictures
333352,13000000,32848185,2.29573,7.2,2015,Entertainment One
276907,25000000,42972994,2.28135,6.7,2015,Working Title Films
284289,0,45895,2.272044,5.5,2015,Furthur Films
266647,150000000,128388320,2.234573,5.9,2015,Warner Bros.
347096,0,0,2.165433,5.1,2015,Arrowstorm Entertainment
308369,0,0,2.141506,7.7,2015,Indian Paintbrush
227973,99000000,246233113,2.140199,6.4,2015,Blue Sky Studios
321741,35000000,48623572,2.121884,6.9,2015,Village Roadshow Pictures
296100,25000000,52395996,2.096273,6.1,2015,Sony Pictures
263472,2500000,5214043,2.080935,4.8,2015,Universum Film (UFA)
228205,34000000,63013281,2.070708,7.3,2015,Fox 2000 Pictures
159824,80000000,466183544,2.060162,6.8,2015,Columbia Pictures
333348,17000000,24000000,2.055572,5.3,2015,Imagine Entertainment
285783,35000000,61181942,2.049886,6.8,2015,TriStar Pictures
290764,11000000,1863315,2.026651,5.9,2015,Temple Hill Entertainment
296099,31000000,104384188,2.000338,6.1,2015,New Line Cinema
243688,35000000,95437994,1.984529,5.0,2015,Ghost House Pictures
287424,4000000,187112,1.980039,5.1,2015,Lionsgate
301875,0,2000000,1.959765,5.6,2015,Scott Free Productions
181283,50000000,3324330,1.95632,5.9,2015,Summit Entertainment
328425,5000000,58978653,1.926739,6.6,2015,Blumhouse Productions
274167,50000000,240360392,1.904898,5.7,2015,Paramount Pictures
370687,0,0,1.876037,5.4,2015,Arrowstorm Entertainment
307663,10000000,0,1.872696,4.1,2015,Grindstone Entertainment Group
309809,64000000,97571250,1.865007,7.5,2015,Onyx Films
258509,0,233755553,1.841779,5.7,2015,Regency Enterprises
298382,11930000,18340000,1.82313,6.9,2015,Amazon Studios
272693,8500000,43528634,1.758618,6.8,2015,Wonderland Sound and Vision
283445,10000000,52882018,1.742286,5.5,2015,Alliance Films
256961,30000000,107597242,1.73518,5.3,2015,Columbia Pictures
326359,0,0,1.724712,7.0,2015,Walt Disney Pictures
254302,0,0,1.661789,5.4,2015,Ingenious Media
241251,4000000,50163103,1.651078,3.9,2015,Universal Pictures
292040,0,0,1.646664,5.6,2015,BBC Films
188222,30000000,49263404,1.532997,6.2,2015,Warner Bros.
252838,23000000,79799880,1.510096,6.5,2015,Miramax Films
273477,15000000,14860766,1.499614,6.2,2015,Paramount Pictures
298312,5000000,98450062,1.495112,5.9,2015,Blumhouse Productions
261023,53000000,99775678,1.483246,6.3,2015,Infinitum Nihil
336004,8900000,50136,1.449072,5.4,2015,Emmett/Furla Films
287903,15000000,61548707,1.448002,5.9,2015,Universal Pictures
182560,20000000,208588,1.443406,5.7,2015,Denver and Delilah Productions
192141,5000000,54418872,1.41239,6.7,2015,Bold Films
308639,700000,17986781,1.40805,7.3,2015,Forest Whitaker's Significant Productions
261392,28000000,28208085,1.388251,5.9,2015,Concorde Filmverleih
304357,11000000,61619773,1.388032,7.3,2015,BBC Films
297291,0,0,1.38032,4.5,2015,Universal Pictures
266294,30000000,105011053,1.376605,5.9,2015,Little Stranger
227719,12000000,32248241,1.360926,6.3,2015,Paramount Pictures
86828,0,5189646,1.360827,5.8,2015,Premiere Picture
287948,25000000,72629670,1.355822,5.3,2015,EuropaCorp
201085,55000000,74679822,1.345982,6.4,2015,Legendary Pictures
277355,0,0,1.342839,5.1,2015,Crime Scene Pictures
264999,14800000,122413057,1.338481,6.3,2015,Warner Bros.
146301,10000000,78099553,1.338322,5.0,2015,Paramount Pictures
223485,0,229094,1.329702,6.6,2015,The New Zealand Film Commission
294016,15000000,8235661,1.316239,7.2,2015,Groundswell Productions
290751,19500000,32189727,1.315266,6.2,2015,Ingenious Media
309245,0,2500431,1.29314,6.4,2015,RT Features
228165,74000000,311594032,1.291013,5.7,2015,Paramount Pictures
245706,0,4719695,1.284541,6.0,2015,Plan B Entertainment
272878,20000000,43967255,1.278928,7.0,2015,Sunswept Entertainment
263109,0,59700000,1.25358,6.9,2015,Aardman Animations
157827,11000000,0,1.251681,6.3,2015,Motlys
321751,0,1702433,1.245224,6.3,2015,Reposado Producciones
266396,40000000,10664749,1.225325,5.6,2015,StudioCanal
277685,1000000,62882090,1.191138,5.6,2015,Bazelevs Production
268920,35000000,51680201,1.178831,5.5,2015,New Line Cinema
280092,10000000,104303851,1.164724,6.3,2015,Sony Pictures
193687,0,118483,1.161812,5.5,2015,Palomar Pictures
300803,0,0,1.144808,4.5,2015,Raffaella Productions
328589,6000000,41387687,1.142518,5.9,2015,BBC Films
228066,40000000,34227298,1.138395,5.5,2015,Twentieth Century Fox Film Corporation
378373,0,0,1.128081,7.5,2015,Terra Mater Factual Studios
291270,8000000,3759286,1.125239,6.7,2015,Starburns Industries
294963,1800000,0,1.073349,6.3,2015,Caliber Media Company
241257,0,17671101,1.065888,5.2,2015,The Weinstein Company
245698,0,0,1.063055,6.6,2015,Material Pictures
353326,0,11472454,1.046518,7.1,2015,Animus Films
346808,20000000,0,1.041922,5.8,2015,Thaba Media
250124,2000000,1477002,1.03839,6.8,2015,Caviar Films
290637,0,0,1.036825,5.3,2015,Voltage Films
244458,0,0,1.02762,6.0,2015,Studio Babelsberg
308504,0,3643591,1.021441,6.3,2015,Czech Anglo Productions
314405,12000000,0,1.008474,5.7,2015,HanWay Films
282984,11000000,27391084,1.007054,6.1,2015,Sony Pictures
157843,15000000,0,0.973316,6.0,2015,Benaroya Pictures
275601,18000000,41325328,0.956096,5.5,2015,Columbia TriStar
290762,0,0,0.953647,7.2,2015,S Films
251516,630019,0,0.953046,7.7,2015,Laser Unicorns
304372,12000000,60273173,0.950793,5.6,2015,Screen Gems
324807,0,1936524,0.938432,5.8,2015,StudioCanal
252512,10000000,7587485,0.93762,5.9,2015,Scott Rudin Productions
257091,40000000,106511453,0.927339,5.9,2015,Gary Sanchez Productions
228968,0,0,0.91704,5.8,2015,Umedia
347969,60000000,0,0.913085,4.8,2015,Happy Madison Productions
237756,0,0,0.90686,5.1,2015,Parabolic Pictures
293646,25000000,24902723,0.906036,5.8,2015,Alcon Entertainment
245168,14000000,16002420,0.898296,7.1,2015,Ruby Films
311291,0,0,0.894477,6.0,2015,The Bureau
