id,budget,revenue,popularity,vote_average,release_year,director
135397,150000000,1513528810,32.985763,6.5,2015,Colin Trevorrow
76341,150000000,378436354,28.419936,7.1,2015,George Miller
262500,110000000,295238201,13.112507,6.3,2015,Robert Schwentke
140607,200000000,2068178225,11.173104,7.5,2015,J.J. Abrams
168259,190000000,1506249360,9.335014,7.3,2015,James Wan
281957,135000000,532950503,9.1107,7.2,2015,Alejandro Gonz¨¢lez I?¨¢rritu
87101,155000000,440603537,8.654359,5.8,2015,Alan Taylor
286217,108000000,595380321,7.6674,7.6,2015,Ridley Scott
211672,74000000,1156730962,7.404165,6.5,2015,Kyle Balda
150540,175000000,853708609,6.326804,8.0,2015,Pete Docter
206647,245000000,880674609,6.200282,6.2,2015,Sam Mendes
76757,176000003,183987723,6.189369,5.2,2015,Lana Wachowski
264660,15000000,36869414,6.118847,7.6,2015,Alex Garland
257344,88000000,243637091,5.984995,5.8,2015,Chris Columbus
99861,280000000,1405035767,5.944927,7.4,2015,Joss Whedon
273248,44000000,155760117,5.8984,7.4,2015,Quentin Tarantino
260346,48000000,325771424,5.749758,6.1,2015,Olivier Megaton
102899,130000000,518602163,5.573184,7.0,2015,Peyton Reed
150689,95000000,542351353,5.556818,6.8,2015,Kenneth Branagh
131634,160000000,650523427,5.476958,6.5,2015,Francis Lawrence
158852,190000000,209035668,5.462138,6.2,2015,Brad Bird
307081,30000000,91709827,5.337064,7.3,2015,Antoine Fuqua
254128,110000000,470490832,4.907832,6.1,2015,Brad Peyton
216015,40000000,569651467,4.710402,5.3,2015,Sam Taylor-Johnson
318846,28000000,133346506,4.648046,7.3,2015,Adam McKay
177677,150000000,682330139,4.566713,7.1,2015,Christopher McQuarrie
214756,68000000,215863606,4.564549,6.3,2015,Seth MacFarlane
207703,81000000,403802136,4.503789,7.6,2015,Matthew Vaughn
314365,20000000,88346473,4.062293,7.8,2015,Tom McCarthy
294254,61000000,311256926,3.968891,6.4,2015,Wes Ball
280996,0,29355203,3.927333,6.4,2015,Bill Condon
198184,49000000,102069268,3.899557,6.6,2015,Neill Blomkamp
254470,29000000,287506194,3.877764,6.8,2015,Elizabeth Banks
296098,40000000,162610473,3.64821,7.1,2015,Steven Spielberg
257445,58000000,150170815,3.644541,6.2,2015,Rob Letterman
264644,6000000,35401758,3.557846,8.0,2015,Lenny Abrahamson
339527,0,22354572,3.358321,6.2,2015,Afonso Poyart
105864,175000000,331926147,3.339135,6.6,2015,Peter Sohn
241554,50000000,71561644,3.23737,6.3,2015,Jaume Collet-Serra
167073,11000000,62076141,3.227329,7.3,2015,John Crowley
277216,28000000,201634991,3.202719,7.7,2015,F. Gary Gray
274854,90000000,140396650,3.080505,5.6,2015,Breck Eisner
321697,30000000,34441873,3.079522,6.9,2015,Danny Boyle
203801,75000000,108145109,3.053421,7.0,2015,Guy Ritchie
293863,25000000,42629776,3.025852,7.3,2015,Lee Toland Krieger
325348,10000000,14333790,3.023253,5.9,2015,Ilya Naishuller
228161,135000000,368871007,2.976436,6.9,2015,Tim Johnson
286565,12000000,85512300,2.968254,6.2,2015,Jake Schreier
265208,30000000,0,2.93234,5.3,2015,Simon West
254320,4000000,9064511,2.885126,6.6,2015,Yorgos Lanthimos
258480,11800000,40272135,2.883233,7.1,2015,Todd Haynes
257211,35000000,194564672,2.814802,7.1,2015,Nancy Meyers
253412,55000000,203427584,2.798017,6.7,2015,Baltasar Korm¨¢kur
274479,60000000,101134059,2.793297,6.4,2015,David O. Russell
257088,105000000,133718711,2.614499,5.5,2015,Ericson Core
295964,20000000,36606743,2.584264,6.3,2015,John Wells
238615,26000000,30523226,2.578919,6.2,2015,Tarsem Singh
210860,60000000,30418560,2.575711,5.3,2015,David Koepp
306819,15000000,64191523,2.557859,7.3,2015,Tom Hooper
201088,70000000,17752940,2.550747,5.0,2015,Michael Mann
273481,30000000,84025816,2.487849,7.1,2015,Denis Villeneuve
166424,120000001,167977596,2.487042,4.4,2015,Josh Trank
310131,3500000,40423945,2.46449,5.8,2015,Robert Eggers
238713,65000000,235666219,2.404473,6.9,2015,Paul Feig
256591,50100000,153962963,2.395366,6.7,2015,Glenn Ficarra
249070,35000000,82347656,2.354654,5.5,2015,Aleksander Bach
205775,100000000,93820758,2.345821,6.4,2015,Ron Howard
334074,20000000,0,2.331636,5.4,2015,James McTeigue
312221,35000000,137935567,2.331567,7.3,2015,Ryan Coogler
271718,35000000,140795793,2.31767,6.1,2015,Judd Apatow
333352,13000000,32848185,2.29573,7.2,2015,Gavin Hood
276907,25000000,42972994,2.28135,6.7,2015,Brian Helgeland
284289,0,45895,2.272044,5.5,2015,Jean-Baptiste L¨¦onetti
266647,150000000,128388320,2.234573,5.9,2015,Joe Wright
347096,0,0,2.165433,5.1,2015,Anne K. Black
308369,0,0,2.141506,7.7,2015,Alfonso Gomez-Rejon
227973,99000000,246233113,2.140199,6.4,2015,Steve Martino
