id,budget,revenue,popularity,vote_average,release_year,genres
135397,150000000,1513528810,32.985763,6.5,2015,Action
76341,150000000,378436354,28.419936,7.1,2015,Action
262500,110000000,295238201,13.112507,6.3,2015,Adventure
140607,200000000,2068178225,11.173104,7.5,2015,Action
168259,190000000,1506249360,9.335014,7.3,2015,Action
281957,135000000,532950503,9.1107,7.2,2015,Western
87101,155000000,440603537,8.654359,5.8,2015,Science Fiction
286217,108000000,595380321,7.6674,7.6,2015,Drama
211672,74000000,1156730962,7.404165,6.5,2015,Family
150540,175000000,853708609,6.326804,8.0,2015,Comedy
206647,245000000,880674609,6.200282,6.2,2015,Action
76757,176000003,183987723,6.189369,5.2,2015,Science Fiction
264660,15000000,36869414,6.118847,7.6,2015,Drama
257344,88000000,243637091,5.984995,5.8,2015,Action
99861,280000000,1405035767,5.944927,7.4,2015,Action
273248,44000000,155760117,5.8984,7.4,2015,Crime
260346,48000000,325771424,5.749758,6.1,2015,Crime
102899,130000000,518602163,5.573184,7.0,2015,Science Fiction
150689,95000000,542351353,5.556818,6.8,2015,Romance
131634,160000000,650523427,5.476958,6.5,2015,War
158852,190000000,209035668,5.462138,6.2,2015,Action
307081,30000000,91709827,5.337064,7.3,2015,Action
254128,110000000,470490832,4.907832,6.1,2015,Action
216015,40000000,569651467,4.710402,5.3,2015,Drama
318846,28000000,133346506,4.648046,7.3,2015,Comedy
177677,150000000,682330139,4.566713,7.1,2015,Action
214756,68000000,215863606,4.564549,6.3,2015,Comedy
207703,81000000,403802136,4.503789,7.6,2015,Crime
314365,20000000,88346473,4.062293,7.8,2015,Drama
294254,61000000,311256926,3.968891,6.4,2015,Action
280996,0,29355203,3.927333,6.4,2015,Mystery
198184,49000000,102069268,3.899557,6.6,2015,Crime
254470,29000000,287506194,3.877764,6.8,2015,Comedy
296098,40000000,162610473,3.64821,7.1,2015,Thriller
257445,58000000,150170815,3.644541,6.2,2015,Adventure
264644,6000000,35401758,3.557846,8.0,2015,Drama
339527,0,22354572,3.358321,6.2,2015,Crime
105864,175000000,331926147,3.339135,6.6,2015,Adventure
241554,50000000,71561644,3.23737,6.3,2015,Action
167073,11000000,62076141,3.227329,7.3,2015,Drama
277216,28000000,201634991,3.202719,7.7,2015,Drama
274854,90000000,140396650,3.080505,5.6,2015,Fantasy
321697,30000000,34441873,3.079522,6.9,2015,History
203801,75000000,108145109,3.053421,7.0,2015,Comedy
293863,25000000,42629776,3.025852,7.3,2015,Fantasy
325348,10000000,14333790,3.023253,5.9,2015,Action
228161,135000000,368871007,2.976436,6.9,2015,Fantasy
286565,12000000,85512300,2.968254,6.2,2015,Drama
265208,30000000,0,2.93234,5.3,2015,Thriller
254320,4000000,9064511,2.885126,6.6,2015,Thriller
258480,11800000,40272135,2.883233,7.1,2015,Romance
257211,35000000,194564672,2.814802,7.1,2015,Comedy
